sample_name,tilt_deg,theta_initial_deg_used_for_q,qz_map_source,qr_integration_source,solid_angle_corrected,m,qr,qr_original,qr_fit_count,qr_fit_sample_count,qr_fit_method,branch,phi_window,delta_qr,qz_bin,qz_min,qz_max,qz_center,pixel_count,acceptance_sum,acceptance_source,background_sum_raw,background_sum,fit_sum,background_mean_raw,background_mean,fit_mean,background_weighted_sum_raw,background_weighted_sum,fit_weighted_sum,background_density_raw,qr_sideband_background_density,qr_sideband_pixel_count,qr_sideband_inner_delta_qr,qr_sideband_outer_delta_qr,qr_sideband_percentile,qr_transverse_background_subtracted,background_density,fit_density,two_theta_min,two_theta_max,two_theta_mean,smoothed_background_density
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,1,0.7713458887701282,0.7923603826605471,0.7818531357153377,269,269.0,pixel_count,33623.45842532137,33623.45842532137,28090.31287765503,124.9942692391129,124.9942692391129,104.42495493552056,33623.45842532137,33623.45842532137,28090.31287765503,124.9942692391129,,0,,,,False,124.9942692391129,104.42495493552056,23.64946174621582,27.14099884033203,25.401004553155094,133.46339421128383
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,2,0.7923603826605471,0.8133748765509662,0.8028676296057566,268,268.0,pixel_count,39549.134211313525,39549.134211313525,31629.72243499756,147.57139631087136,147.57139631087136,118.02135236939388,39549.134211313525,39549.134211313525,31629.72243499756,147.57139631087136,,0,,,,False,147.57139631087136,118.02135236939388,23.85700798034668,27.242889404296875,25.58398957804643,150.40095511392605
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,3,0.8133748765509662,0.8343893704413853,0.8238821234961757,275,275.0,pixel_count,47885.303306063695,47885.303306063695,35777.90121459961,174.12837565841343,174.12837565841343,130.1014589621804,47885.303306063695,47885.303306063695,35777.90121459961,174.12837565841343,,0,,,,False,174.12837565841343,130.1014589621804,23.980127334594727,27.427061080932617,25.706885832829634,172.92759917293077
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,4,0.8343893704413853,0.8554038643318043,0.8448966173865948,270,270.0,pixel_count,54694.09798892614,54694.09798892614,39069.35032272339,202.57073329231906,202.57073329231906,144.7012974915681,54694.09798892614,54694.09798892614,39069.35032272339,202.57073329231906,,0,,,,False,202.57073329231906,144.7012974915681,24.136964797973633,27.532732009887695,25.864434771568558,189.6272666360718
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,5,0.8554038643318043,0.8764183582222234,0.8659111112770138,277,277.0,pixel_count,54267.57763425616,54267.57763425616,41759.97546005249,195.91183261464317,195.91183261464317,150.75803415181403,54267.57763425616,54267.57763425616,41759.97546005249,195.91183261464317,,0,,,,False,195.91183261464317,150.75803415181403,24.31945037841797,27.72069549560547,26.043109468854507,192.00715231551663
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,6,0.8764183582222234,0.8974328521126425,0.8869256051674329,279,279.0,pixel_count,51342.99369000383,51342.99369000383,40295.96537590027,184.02506698926103,184.02506698926103,144.42998342616585,51342.99369000383,51342.99369000383,40295.96537590027,184.02506698926103,,0,,,,False,184.02506698926103,144.42998342616585,24.481361389160156,27.857511520385742,26.18448006545603,184.72678748400125
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,7,0.8974328521126425,0.9184473460030615,0.907940099057852,273,273.0,pixel_count,47901.46774134419,47901.46774134419,37015.78307914734,175.46325179979556,175.46325179979556,135.58894900786572,47901.46774134419,47901.46774134419,37015.78307914734,175.46325179979556,,0,,,,False,175.46325179979556,135.58894900786572,24.666776657104492,28.049419403076172,26.366847250537656,175.77715809702107
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,8,0.9184473460030615,0.9394618398934804,0.928954592948271,282,282.0,pixel_count,46884.39394452004,46884.39394452004,34834.931131362915,166.25671611531928,166.25671611531928,123.52812457930112,46884.39394452004,46884.39394452004,34834.931131362915,166.25671611531928,,0,,,,False,166.25671611531928,123.52812457930112,24.83340835571289,28.16242790222168,26.506283330437714,168.17830872380682
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,9,0.9394618398934804,0.9604763337838995,0.94996908683869,281,281.0,pixel_count,45866.24711159531,45866.24711159531,32009.737142562866,163.22507868895127,163.22507868895127,113.91365531161162,45866.24711159531,45866.24711159531,32009.737142562866,163.22507868895127,,0,,,,False,163.22507868895127,113.91365531161162,25.002822875976562,28.357563018798828,26.70219328762329,162.06061420900292
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,10,0.9604763337838995,0.9814908276743186,0.9709835807291091,282,282.0,pixel_count,43743.27455129328,43743.27455129328,29825.264421463013,155.11799486274214,155.11799486274214,105.76334901228019,43743.27455129328,43743.27455129328,29825.264421463013,155.11799486274214,,0,,,,False,155.11799486274214,105.76334901228019,25.192485809326172,28.50298500061035,26.869209264700658,156.47185306777692
